SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
pill	 TB	 The treatment of TB is at least six months long and may be complicated by a high pill burden.	 TB is at least six months long and may be complicated by a high pill	 	no_rel
adenocarcinoma	 paclitaxel	 A 75-year-old woman with serous adenocarcinoma of the ovary developed lethal pancolitis caused by C. difficile after five cycles of paclitaxel- and carboplatin-based chemotherapy.	adenocarcinoma  of the ovary developed lethal pancolitis caused by C. difficile after five cycles of  paclitaxel	 	no_rel
AIDS	 HIV	 Only 51 of the 417 TBA (12%) reported hearing about HIV/AIDS.	 HIV AIDS	 causative_agent_of	no
Glucose	 enzymopathy	 Glucose-6-Phosphate dehydrogenase (G6PD) is a key enzyme of the pentose monophosphate pathway, and its deficiency is the most common inherited enzymopathy worldwide.	Glucose -6-Phosphate dehydrogenase (G6PD) is a key enzyme of the pentose monophosphate pathway, and its deficiency is the most common inherited  enzymopathy	 	no_rel
interferon	 melanoma	 Basal and interferon-alpha (IFN-α) or interferon-gamma (IFN-γ)-induced expression of SOCS1 and SOCS3 proteins was evaluated by immunoblot analysis in a panel of n = 10 metastatic human melanoma cell lines, in human embryonic melanocytes (HEM), and radial or vertical growth phase melanoma cells.	interferon -alpha (IFN-α) or interferon-gamma (IFN-γ)-induced expression of SOCS1 and SOCS3 proteins was evaluated by immunoblot analysis in a panel of n = 10 metastatic human melanoma cell lines, in human embryonic melanocytes (HEM), and radial or vertical growth phas melanoma	 	no_rel
AIDS	 HIV	 Of those who had heard about HIV/AIDS, only 36 (72%) correctly reported that the virus could be spread from mother to child; 37 (74%) identified unprotected sex as a mode of transmission; and 26 (51%) correctly said healthy looking people could spread HIV.	AIDS , only 36 (72%) correctly reported that the virus could be spread from mother to child; 37 (74%) identified unprotected sex as a mode of transmission; and 26 (51%) correctly said healthy looking people could spread  HIV	 causative_agent_of	no
tuberculosis	 MTB	 In order to analyze dendritic cells (DCs) activation following infection with different mycobacterial strains, we studied the expression profiles of 165 genes of human monocyte-derived DCs infected with H37Rv, a virulent Mycobacterium tuberculosis (MTB) laboratory strain, CMT97, a clinical MTB isolate, Mycobacterium bovis bacillus Calmette-Guérin (BCG), Aventis Pasteur, and BCG Japan, both employed as vaccine against tuberculosis.	 MTB  laboratory strain, CMT97, a clinical MTB isolate, Mycobacterium bovis bacillus Calmette-Guérin (BCG), Aventis Pasteur, and BCG Japan, both employed as vaccine againsttuberculosis	 causative_agent_of	no
type 1 diabetes	 glucose	 The MDLAP system is a promising tool for individualized glucose control in patients with type 1 diabetes.	 glucose control in patients with type 1 diabetes	 	no_rel
myocardial infarction	 clopidogrel	 Recently, a new thienopyridine, prasugrel, significantly reduced the primary endpoint of cardiovascular death, non-fatal myocardial infarction or non-fatal stroke to 9.9% compared to 12.1% for clopidogrel.	myocardial infarction  or non-fatal stroke to 9.9% compared to 12.1% for  clopidogrel	 may_prevent	yes
meningococcal septicaemia	 N. meningitidis	 In this study we ascertain the in vivo role of SR-A in the recognition of N. meningitidis MC58 (serogroup B) in a murine model of meningococcal septicaemia.	 N. meningitidis MC58 (serogroup B) in a murine model of meningococcal septicaemia	 causative_agent_of	no
I-	 adhesion	 The adhesion and spreading of RMG-I and RMG-I-H cells on hyaluronic acid (HA) were observed.	 adhesion and spreading of RMG-I and RMG-I-	 	no_rel
virus	 viruses	 Here, we compared the cell culture growth characteristics of haemorrhagic fever viruses (HFV), of the Arenaviridae , Filoviridae , Bunyaviridae , and Flavivridae virus families by performing quantitative analysis of cell culture supernatants by (i) electron microscopy for the quantification of virus particles, (ii) quantitative real time PCR for the quantification of genomes, and (iii) determination of focus forming units by coating fluorescent antibodies to infected cell monolayers for the quantification of virus infectivity.	 viruses (HFV), of the Arenaviridae , Filoviridae , Bunyaviridae , and Flavivridae virus	 causative_agent_of	no
HIV disease	 HIV	 Improved access to HIV care and treatment services seems to be associated with patients' early presentation to the clinics in the course of HIV disease.	 HIV care and treatment services seems to be associated with patients' early presentation to the clinics in the course of HIV disease	 causative_agent_of	no
ezetimibe	 inflammation	 Addition of ezetimibe to a moderate weight loss diet in obese subjects can significantly improve hepatic steatosis, inflammation, and LDL–apoB-100 metabolism.	ezetimibe  to a moderate weight loss diet in obese subjects can significantly improve hepatic steatosis,  inflammation	 	no_rel
bleeding disorder	 vitamin K	 Hereditary combined vitamin K-dependent clotting factors deficiency (VKCFD) is a rare congenital bleeding disorder resulting from variably decreased levels of coagulation factors II, VII, IX and X as well as natural anticoagulants protein C, protein S and protein Z.	 vitamin K dependent clotting factors deficiency (VKCFD) is a rare congenital bleeding disorder	 	no_rel
tuberculosis	 Mycobacterium tuberculosis	 Genotyping of Mycobacterium tuberculosis isolates is a powerful tool for epidemiological control of tuberculosis (TB) and phylogenetic exploration of the pathogen.	 Mycobacterium tuberculosis isolates is a powerful tool for epidemiological control of tuberculosis	 causative_agent_of	no
HIV infection	 HIV	 During HIV infection and/or antiretroviral therapy (ART), monocytes and macrophages exhibit a wide range of dysfunctions which contribute significantly to HIV pathogenesis and therapy-associated complications.	HIV infection  and/or antiretroviral therapy (ART), monocytes and macrophages exhibit a wide range of dysfunctions which contribute significantly to  HIV	 causative_agent_of	no
HIV Infections	 HIV	 Through anonymized linkage with the Survey of Prevalent HIV Infections Diagnosed and Health Protection Scotland, national databases of all HIV patients in care in the UK up to December 2006, loss-to-follow-up patients were categorized as Transfers (subsequently received care at another UK HIV clinic) or UKLFU (no record of subsequent attendance at any HIV clinic in the UK).	HIV Infections  Diagnosed and Health Protection Scotland, national databases of all  HIV	 causative_agent_of	no
PTSD	 PTG	 This study aimed to examine the hypothesis that some factors of PTG, such as personal strength, relate to resilience, whereas other factors, such as appreciation of life, relate to PTSD symptoms among Japanese motor vehicle accident (MVA) survivors.	 PTG  such as personal strength, relate to resilience, whereas other factors, such as appreciation of life, relate to PTSD	 	no_rel
granulomas	 INH	 Immune modulation combined with INH treatment improved bacillary clearance and resulted in smaller granulomas and less lung pathology, compared to treatment with INH alone.	granulomas  and less lung pathology, compared to treatment with  INH	 	no_rel
rickettsiosis	 Rickettsia	 We identified Rickettsia monacensis as a cause of acute tickborne rickettsiosis in 2 humans.	 Rickettsia monacensis as a cause of acute tickborne rickettsiosis	 causative_agent_of	no
virus	 viruses	 We demonstrate that the novel pandemic influenza (H1N1) viruses have human virus–like receptor specificity and can no longer replicate in aquatic waterfowl, their historic natural reservoir.	 viruses have human virus	 causative_agent_of	no
pain	 aminoacid	 The relationship between NGF and pain is supported by genetic evidence mutations in the NGF TrkA receptor in patients affected by an hereditary rare disease (Hereditary Sensory and Autonomic Neuropathy type IV, HSAN IV) determine a congenital form of severe pain insensitivity, with mental retardation, while a mutation in NGFB gene, leading to the aminoacid substitution R100W in mature NGF, determines a similar loss of pain perception, without overt cognitive neurological defects (HSAN V).	 aminoacid ubstitution R100W in mature NGF, determines a similar loss of ppain	 	no_rel
melanoma	 DTIC	 We have previously demonstrated that the bioflavonoid quercetin (Qct) promoted a p53-mediated response and sensitized melanoma to DTIC.	melanoma  to  DTIC	 may_treat	yes
LVH	 nitrates	 It was concluded that organic nitrates favor regression of LVH in hypertensive patients on chronic peritoneal dialysis, and nitrates may be considered for use before employing the five other antihypertensive agents other than nitrates.	 nitrates favor regression of LVH	 	no_rel
type 2 diabetes	 metformin	 Study the effects of exenatide (EXE) plus rosiglitazone (ROSI) on β-cell function and insulin sensitivity using hyperglycemic and euglycemic insulin clamp techniques in participants with type 2 diabetes on metformin.	type 2 diabetes s on metformin	 may_treat	yes
antipsychotic drug	 depressive disorder	 Aripiprazole is an atypical antipsychotic drug approved for the treatment of psychiatric disorders such as schizophrenia, bipolar disorder, major depressive disorder and autism.	antipsychotic drug  approved for the treatment of psychiatric disorders such as schizophrenia, bipolar disorder, major  depressive disorder	 	no_rel
timolol maleate	 ocular hypertension	 To evaluate the long-term efficacy and safety of 3 commercially available fixed combinations of prostaglandin analogs or a prostamide with timolol maleate in patients with primary open angle glaucoma or ocular hypertension.	timolol maleate  in patients with primary open angle glaucoma or  ocular hypertension	 	no_rel
AIDS	 HIV	 HIV/AIDS status was known by 68 (17.4%) children, 93 (29%) caretakers reported knowing the child's serostatus two years prior to our survey, 180 (46.2%) respondents said that the child should be told about his/her HIV/AIDS status when he/she is older than 14 years of age.	AIDS  status was known by 68 (17.4%) children, 93 (29%) caretakers reported knowing the child's serostatus two years prior to our survey, 180 (46.2%) respondents said that the child should be told about his/her  HIV	 causative_agent_of	no
cancer	 adjuvant	 Electronic brachytherapy provides a feasible treatment option for postoperative adjuvant vaginal brachytherapy as sole radiation therapy and in combination with EBRT for primary endometrial cancer.	 adjuvant vaginal brachytherapy as sole radiation therapy and in combination with EBRT for primary endometrial cancer	 	no_rel
epinephrine	 hypoglycemia	 However, fluoxetine administration significantly ( P < 0.05) increased key ANS (epinephrine, norepinephrine, and MSNA), metabolic (endogenous glucose production and lipolysis), and cardiovascular (systolic blood pressure) counterregulatory responses during hypoglycemia.	epinephrine , norepinephrine, and MSNA), metabolic (endogenous glucose production and lipolysis), and cardiovascular (systolic blood pressure) counterregulatory responses during  hypoglycemia	 	no_rel
inflammation	 glucose	 Thirty-four children (25 males; median age 10.8 ± 3.4 yrs) with severe obesity (BMI >95%) were screened for diabetes with oral glucose tolerance test (OGTT), systemic inflammation with C-reactive protein (CRP) and gut inflammation with rectal nitric oxide (NO) and faecal calprotectin.	 glucose  tolerance test (OGTT), systemicinflammation	 	no_rel
Hyperglycemia	 glucose	 To assess the effect of intraday glucose variability (GV) on cardiovascular outcomes in a reanalysis of Hyperglycemia and Its Effect After Acute Myocardial Infarction on Cardiovascular Outcomes in Patients With Type 2 Diabetes Mellitus (HEART2D) study data.	 glucose variability (GV) on cardiovascular outcomes in a reanalysis of Hyperglycemia	 contraindicated_with_disease	no
AIDS	 HIV	 Similar task-shifting programs might help large HIV/AIDS clinics in Uganda and other low-income countries to cope with increasing numbers of patients seeking care.	 HIV AIDS	 causative_agent_of	no
AIDS	 HIV	 There is a need for greater attempts toward making information regarding HIV/AIDS available to every individual of the society.	 HIV AIDS	 causative_agent_of	no
G6PD deficiency	 enzyme	 The results were confirmed by quantitative enzyme assay for the cases that showed G6PD deficiency.	 enzyme assay for the cases that showed G6PD deficiency	 	no_rel
Behçet's disease	 antibody	 Infliximab, an anti-tumor necrosis factor (TNF)-α monoclonal antibody, has been reported to be effective in refractory uveoretinitis in Behçet's disease.	 antibody , has been reported to be effective in refractory uveoretinitis inBehçet's disease	 	no_rel
cross	 antibodies	 In this study, we demonstrate that vaccination with the 2009 pandemic H1N1 vaccine elicits 1918 virus cross-protective antibodies in mice and humans, and that vaccination or passive transfer of human-positive sera reduced morbidity and conferred full protection from lethal challenge with the 1918 virus in mice.	cross -protective  antibodies	 	no_rel
otalgia	 antibody	 We report a rare case of hydralazine-induced anti-neutrophil cytoplasmic antibody-associated vasculitis in a 62-year-old Caucasian woman who presented with a vasculitic syndrome with a sore throat, mouth ulcers and otalgia after several months of constitutional symptoms.	 antibody associated vasculitis in a 62-year-old Caucasian woman who presented with a vasculitic syndrome with a sore throat, mouth ulcers and otalgia	 	no_rel
rheumatoid arthritis	 anakinra	 These meta-analyses did not reveal a significant increase in the risk of serious infections during rituximab or abatacept treatments in patients with rheumatoid arthritis; however, high doses of anakinra may increase this risk, especially when patients have comorbidity factors.	rheumatoid arthritis ; however, high doses of  anakinra	 may_treat	yes
ranolazine	 supraventricular tachycardia	 In a large acute coronary syndrome clinical trial, ranolazine reduced the incidence of supraventricular tachycardia, ventricular tachycardia, new-onset atrial fibrillation, and bradycardic events.	ranolazine  reduced the incidence of  supraventricular tachycardia	 	no_rel
carbohydrate	 insulin resistance	 Endothelial dysfunction is frequently present in individuals with insulin resistance or type 2 diabetes and can be induced by high-fat or high-carbohydrate meals.	 insulin resistance or type 2 diabetes and can be induced by high-fat or high-carbohydrate	 	no_rel
African trypanosomiasis	 Eflornithine	 Eflornithine is used as a first line treatment for human African trypanosomiasis, but there is a risk that resistance could thwart its use, even when used in combination therapy with nifurtimox.	 Eflornithine is used as a first line treatment for human African trypanosomiasis	 may_treat	yes
sugar	 West	 Based on highly successful demonstrations in Israel that attractive toxic sugar bait (ATSB) methods can decimate local populations of mosquitoes, this study determined the effectiveness of ATSB methods for malaria vector control in the semi-arid Bandiagara District of Mali, West Africa.	sugar  bait (ATSB) methods can decimate local populations of mosquitoes, this study determined the effectiveness of ATSB methods for malaria vector control in the semi-arid Bandiagara District of Mali,  West	 	no_rel
infectious mononucleosis	 EBV	 However, the frequency of total and CD8+ NKT cells is remarkably increased in the acute EBV infectious mononucleosis patients at year 1 post-onset.	 EBV infectious mononucleosis	 causative_agent_of	no
cancer	 platinum	 We conclude that γ-secretase inhibition results in activation of the MAP kinases Erk1/2 and, when used in conjunction, enhances cell death induced by platinum compounds in a large subset of colorectal cancer cell lines.	 platinum  compounds in a large subset of colorectalcancer	 	no_rel
lung tumor	 paclitaxel	 In this study, we investigated the role of caspase-3 in breast and lung tumor cell line sensitivity to paclitaxel.	lung tumor  cell line sensitivity to  paclitaxel	 may_treat	yes
pain	 fentanyl	 We introduced strong opioids (transdermal fentanyl patches for the background pain and a short-acting opioid for the breakthrough pain) and his pain was tolerable on 250 µg/hr of fentanyl patches for 3 months.	pain  was tolerable on 250 µg/hr of fentanyl	 may_treat	yes
precocious puberty	 gonadotropin-releasing hormone	 The aim of this study was to simplify the intravenous gonadotropin-releasing hormone (GnRH) stimulation test in the diagnosis of precocious puberty and in the assessment of pubertal suppression.	 gonadotropin-releasing hormone (GnRH) stimulation test in the diagnosis of precocious puberty	 may_treat	yes
obstructive pulmonary disease	 oxygen	 Arterial oxygen tension, oxygen delivery to tissue, and systemic inflammation are recognized as pivotal factors in the progression of chronic obstructive pulmonary disease (COPD).	 oxygen tension, oxygen delivery to tissue, and systemic inflammation are recognized as pivotal factors in the progression of chronic obstructive pulmonary disease	 may_treat	yes
hypoglycaemia	 glucose	 Colesevelam was not associated with weight gain, was associated with a low incidence of hypoglycaemia, and can be safely combined with a broad range of glucose-lowering agents (metformin, sulfonylureas and insulin) and lipid-lowering statins.	hypoglycaemia , and can be safely combined with a broad range of  glucose	 may_treat	yes
mycobacterial infection	 mycobacteria	 Using an in vitro model designed to recapitulate cellular events implicated in mycobacterial infection and dissemination in vivo (i.e., phagocytosis of apoptotic macrophages containing mycobacteria), we demonstrated reduced recovery of viable mycobacteria within Cd36 -/- macrophages.	mycobacterial infection  and dissemination in vivo (i.e., phagocytosis of apoptotic macrophages containing mycobacteria), we demonstrated reduced recovery of viable  mycobacteria	 causative_agent_of	no
TB	 BCG	 Although 91.4% knew TB was transmitted via aerosols, about one-third did not know the method for administering tuberculin, or that Bacillus Calmette-Guerin (BCG) vaccine was not a contraindication to TB skin testing.	TB  was transmitted via aerosols, about one-third did not know the method for administering tuberculin, or that Bacillus Calmette-Guerin ( BCG	 may_prevent	yes
ADHD	 atomoxetine	 While stimulant treatments for ADHD could certainly result in a positive result on urine screen for amphetamines, there have been no reports of false-positive results for amphetamines secondary to patients using atomoxetine.	ADHD  could certainly result in a positive result on urine screen for amphetamines, there have been no reports of false-positive results for amphetamines secondary to patients using  atomoxetine	 may_treat	yes
estrogens	 cancer	 Breast cancer is frequently a hormonally dependent cancer, and associations of circulating estrogens and androgens with subsequent breast cancer risk are well established in postmenopausal women.	 cancer  and associations of circulating estrogens	 	no_rel
loteprednol etabonate	 pain	 To compare the safety and efficacy of loteprednol etabonate ophthalmic ointment 0.5% (LE ointment), a new topical ointment formulation, with vehicle for the treatment of inflammation and pain following cataract surgery.	loteprednol etabonate  ophthalmic ointment 0.5% (LE ointment), a new topical ointment formulation, with vehicle for the treatment of inflammation and  pain	 	no_rel
type 1 diabetes	 Insulin	 CONCLUSIONS —Insulin gene mutations are rare in absolute terms in patients classified as type 1 diabetic (0.6%) but can be identified after a thorough screening of type 1 diabetes autoantibodies.	 Insulin n gene mutations are rare in absolute terms in patients classified as type 1 diabetic (0.6%) but can be identified after a thorough screening otype 1 diabetes	 may_treat	yes
Meth	 fibrosarcoma	 On the contrary, triple i.p. injections, 24 hours apart; of 10 μg EJHE increased significantly IFN-γ production in the spleen (p < 0.02) while only EJHE-WR increased significantly IFN-γ, TGF-β1 and IL-17 (p < 0.03 - 0.005) production within the tumor microenvironment of Meth-A fibrosarcoma.	Meth Met fibrosarcoma	 	no_rel
tumor	 DM	 Patient-related characteristics (age, menopausal status, pathological stage/tumor size, tumor location, histology, estrogen/progesterone receptor status, histological grade, nuclear grade, extracapsular extension, lymphatic, vascular and perineural invasion and ratio of involved nodes/dissected nodes) and treatment-related factors (PMRT, chemotherapy and hormonal therapy) were evaluated in terms of LRR and DM rate.	tumor  size, tumor location, histology, estrogen/progesterone receptor status, histological grade, nuclear grade, extracapsular extension, lymphatic, vascular and perineural invasion and ratio of involved nodes/dissected nodes) and treatment-related factors (PMRT, chemotherapy and hormonal therapy) were evaluated in terms of LRR and  DM	 may_treat	yes
type 2 diabetes	 Exenatide	 Exenatide improves postprandial glycemic excursions in type 2 diabetes.	 Exenatide improves postprandial glycemic excursions in type 2 diabetes	 may_treat	yes
AIDS	 HIV	 Two-thirds of the PLHIV (66%) classified themselves with being given an AIDS (advanced stage of HIV) diagnosis, 48% were currently on ART, 35% were currently on a disability grant for HIV/AIDS and for 13% the disability grant had been stopped.	AIDS  (advanced stage of HIV) diagnosis, 48% were currently on ART, 35% were currently on a disability grant for  HIV	 causative_agent_of	no
virus	 viruses	 Antimycin A (an alternative respiratory pathway inducer and also an inducer of resistance to viruses) and SA triggered resistance to tobacco mosaic virus (TMV).	 viruses  and SA triggered resistance to tobacco mosaic virus	 causative_agent_of	no
pain	 lidocaine	 In this study, we investigated the effect of a lidocaine mixture on pain induced by microemulsion propofol injection, and sought to determine the optimal dose of lidocaine that could reduce pain on injecting a propofol-lidocaine mixture.	pain  on injecting a propofol- lidocaine	 may_treat	yes
TB	 pyrazinamide	 This result suggested the general TB treatment regimen including pyrazinamide to be the first choice in Bangladesh.	TB  treatment regimen including  pyrazinamide	 may_treat	yes
pain	 propofol	 In each patient, pain on microemulsion propofol solution injection was graded as none, mild, moderate, or severe.	pain  on microemulsion  propofol	 may_prevent	yes
lidocaine	 OA	 After 5% lidocaine patches were applied to the painful body part for two weeks, CBP patients exhibited a significant decrease in clinical pain measures, while in OA clinical questionnaire based outcomes showed no treatment effect but stimulus evoked pain showed a borderline decrease.	lidocaine  patches were applied to the painful body part for two weeks, CBP patients exhibited a significant decrease in clinical pain measures, while in  OA	 	no_rel
exenatide	 pancreatitis	 Incidence of acute pancreatitis in the nondiabetic control group, diabetic control group, exenatide group, and sitagliptin group was 1.9, 5.6, 5.7, and 5.6 cases per 1,000 patient years, respectively.	 pancreatitis in the nondiabetic control group, diabetic control group, exenatide	 	no_rel
metal	 hypersensitivity	 The tissue features may help distinguish reactions to high wear from those with suspected metal hypersensitivity.	metal   hypersensitivity	 	no_rel
hypoglycemia	 glucose	 To characterize the amount of nocturnal hypoglycemia and evaluate factors associated with nocturnal hypoglycemia assessed with continuous glucose monitoring (CGM) in adults and children with type 1 diabetes who participated in the Juvenile Diabetes Research Foundation CGM randomized clinical trial.	hypoglycemia  and evaluate factors associated with nocturnal hypoglycemia assessed with continuous  glucose	 may_treat	yes
haloperidol	 dyskinesia	 Also, patients receiving haloperidol had significant correlation between blood lactate and dystonia at 1 month ( P  < 0.001) and 6 months ( P  = 0.012) and tardive dyskinesia at 1 month ( P  = 0.032).	haloperidol  had significant correlation between blood lactate and dystonia at 1 month ( P  < 0.001) and 6 months ( P  = 0.012) and  dyskinesia	 	no_rel
virus	 MN	 Glycan microarray analysis with a high infectivity “triple reassortant” virus ((A/Swine/MN/593/99 (H3N2)) that spread widely throughout the North American swine population and a lower infectivity human virus isolated from a single pig (A/Swine/ONT/00130/97 (H3N2)) showed that both viruses bound exclusively to glycans containing NeuAcα2–6, with strong binding to sialylated polylactosamine and sialylated N -glycans.	virus irus ((A/Sw MN	 	no_rel
autoimmune diseases	 interferons	 Here, in an attempt to understand the role of type I interferons in the pathogenesis of autoimmunity, we review the recent advances in the genetics of autoimmune diseases focusing on the association of genes involved in type I interferon pathways.	 interferons in the pathogenesis of autoimmunity, we review the recent advances in the genetics of autoimmune diseases	 contraindicated_with_disease	no
osteoporosis	 vitamin D	 Physicians selected from Malaysia, Taiwan, Philippines, Korea and Singapore were asked to grade the significance of vitamin D and calcium in the treatment of osteoporosis and their patients' use of these supplements.	 vitamin D and calcium in the treatment of osteoporosis	 may_prevent	yes
insulin	 insulin resistance	 The aggravated insulin resistance was associated with impaired insulin signaling and increased diacylglycerol content in skeletal muscle.	 insulin resistance was associated with impaired insulin	 	no_rel
vomiting	 lorazepam	 Treatment with intravenous lorazepam aborted vomiting, but could not prevent recurrences of vomiting and epigastric pain.	 lorazepam aborted vomiting	 may_treat	yes
hypoglycemia	 glucose	 The aim of the present study was to examine in humans the potential role of portal vein glucose sensors in physiological responses to insulin-induced hypoglycemia mimicking the slow fall of insulin-treated diabetic subjects.	 glucose sensors in physiological responses to insulin-induced hypoglycemia	 may_treat	yes
Parkinson's disease	 Dieldrin	 Dieldrin has been reported to be one of the environmental factors correlated with Parkinson's disease and may selectively destroy dopaminergic neurons.	 Dieldrin has been reported to be one of the environmental factors correlated with Parkinson's disease	 	no_rel
AIDS	 HIV	 Since the beginning of the 21st century, development assistance for HIV/AIDS has increasingly been provided through Global Health Initiatives, specifically the United States Presidential Emergency Plan for AIDS Relief, the Global Fund to Fight HIV, TB and Malaria and the World Bank Multi-country AIDS Programme.	 HIV AIDS has increasingly been provided through Global Health Initiatives, specifically the United States Presidential Emergency Plan for AIDS	 causative_agent_of	no
Gardnerella	 bacterium	 Although no single bacterium could be identified as a specific marker for healthy over diseased conditions, three phyla - Bacteroidetes , Actinobacteria and Fusobacteria , and eight genera including Gardnerella , Atopobium , Megasphaera , Eggerthella , Aerococcus , Leptotrichia / Sneathia , Prevotella and Papillibacter were strongly associated with BV ( p < 0.05).	 bacterium could be identified as a specific marker for healthy over diseased conditions, three phyla - Bacteroidetes , Actinobacteria and Fusobacteria , and eight genera including Gardnerella	 causative_agent_of	no
HBV	 hepatitis B virus	 All decisions about initiating, continuing, or stopping therapy of the hepatitis B virus (HBV) during pregnancy must include an analysis of the risks and benefits for mother and fetus.	 hepatitis B virus (HBV	 causative_agent_of	no
bacterial infections	 Rifampin	 Rifampin-resistant M.tb (n = 41), TB-IRIS (n = 51) and drug resistant bacterial infections (n = 12) were found in 12%, 14% and 3.4% of the 352 cases, respectively.	 Rifampin resistant M.tb (n = 41), TB-IRIS (n = 51) and drug rebacterial infections	 may_prevent	yes
gastroesophageal reflux disease	 proton pump inhibitors	 To review the literature on the treatment of gastroesophageal reflux disease (GERD) with emphasis on proton pump inhibitors (PPIs), particularly on delayed-release esomeprazole, and to identify properties and adverse effects of PPIs observed in the treatment of GERD in children and adolescents.	gastroesophageal reflux disease  (GERD) with emphasis on  proton pump inhibitors	 	no_rel
chronic hepatitis C	 ribavirin	 The gold standard therapy for chronic hepatitis C patients is pegylated interferon combined with an anti-viral drug (ribavirin).	chronic hepatitis C  patients is pegylated interferon combined with an anti-viral drug ( ribavirin	 may_treat	yes
cannabinoids	 schizophrenia	 These data suggest that administration of cannabinoids during adolescence leads to a behavioral phenotype associated with a rodent model of schizophrenia, as indexed by alterations in sensorimotor gating and hippocampal-dependent learning and memory deficits.	cannabinoids  during adolescence leads to a behavioral phenotype associated with a rodent model of  schizophrenia	 	no_rel
malaria	 lumefantrine	 The recent change of treatment policy for uncomplicated malaria from sulfadoxine-pyrime-thamine to artemether-lumefantrine (AL) in Kenya was accompanied by revised malaria diagnosis recommendations promoting presumptive antimalarial treatment in young children and parasitological diagnosis in patients 5 years and older.	malaria  from sulfadoxine-pyrime-thamine to artemether- lumefantrine	 may_prevent	yes
pneumonic plague	 Yersinia pestis	 Yersinia pestis is the causative agent of pneumonic plague; recently, we and others reported that during the first 24-36 hours after pulmonary infection with Y. pestis pro-inflammatory cytokine expression is undetectable in lung tissues.	 Yersinia pestis is the causative agent of pneumonic plague	 causative_agent_of	no
tuberculosis	 antitubercular	 Potential causes for clinical deterioration in settings of high HIV-1 prevalence include drug resistant Mycobacterium tuberculosis (M.tb) , co-morbid illnesses, poor adherence to therapy, tuberculosis associated-immune reconstitution inflammatory syndrome (TB-IRIS) and subtherapeutic antitubercular drug levels.	tuberculosis  associated-immune reconstitution inflammatory syndrome (TB-IRIS) and subtherapeutic  antitubercular	 may_treat	yes
discoid lupus erythematosus	 lupus erythematosus	 To determine the prevalence of pulmonary dysfunction in lupus erythematosus, 24 patients with systemic lupus erythematosus (SLE) and 5 patients with discoid lupus erythematosus (DLE) were studied.	 lupus erythematosus  24 patients with systemic lupus erythematosus (SLE) and 5 patients with discoid lupus erythematosus	 cause_of	no
pulmonary embolism	 warfarin	 The anticoagulant drug warfarin is widely prescribed for reducing the risk of stroke, thrombosis, pulmonary embolism, and coronary malfunction.	 warfarin is widely prescribed for reducing the risk of stroke, thrombosis, pulmonary embolism	 may_treat	yes
schizophrenia	 risperidone	 This open-label, 26-week, multi-centre, randomised study compared aripiprazole to SOC (olanzapine, quetiapine or risperidone) in patients with schizophrenia (DSM-IV-TR criteria).	 risperidone  in patients with schizophrenia	 may_treat	yes
tumor	 DM	 We aimed to evaluate retrospectively the correlation of loco-regional relapse (LRR) rate, distant metastasis (DM) rate, disease free survival (DFS) and overall survival (OS) in a group of breast cancer (BC) patients who are at intermediate risk for LRR (T1-2 tumor and 1-3 positive axillary nodes) treated with or without postmastectomy radiotherapy (PMRT) following modified radical mastectomy (MRM).	 DM  rate, disease free survival (DFS) and overall survival (OS) in a group of breast cancer (BC) patients who are at intermediate risk for LRR (T1-2 tumor	 may_treat	yes
breast tumor	 estrogen	 We found a correlation between ErbB2 expression and activation of Pak in estrogen-receptor positive human breast tumor samples and observed that in 3D cultures, activation of Rac-Pak1 pathway by ErbB2 homodimers induced growth factor independent proliferation and promoted disruption of three-dimensional mammary acinar-like structures through activation of the Erk and Akt pathways.	 estrogen receptor positive human breast tumor	 may_treat	yes
open angle glaucoma	 Paracetamol	 Paracetamol 1 g taken orally every 6 hours reduced open angle glaucoma and/or angle recession glaucoma in both groups of patients, in a way comparable with that achieved by a topical beta-adrenergic receptor antagonist.	 Paracetamol 1 g taken orally every 6 hours reduced open angle glaucoma	 	no_rel
chronic hepatitis B	 hepatitis B virus	 Although chronic hepatitis B (CHB) affects approximately 2 million United States residents, there is no systematic screening of at-risk individuals, and most remain unaware of their hepatitis B virus (HBV) infection.	chronic hepatitis B  (CHB) affects approximately 2 million United States residents, there is no systematic screening of at-risk individuals, and most remain unaware of their  hepatitis B virus	 causative_agent_of	no
H5N1	 influenza virus	 Despite progress in deciphering viral determinants of pathogenicity, we still lack crucial information on virus/immune system interactions pertaining to severe disease and high mortality associated with human H5N1 influenza virus infections.	H5N1   influenza virus	 causative_agent_of	no
virus	 viruses	 When viruses are cultured by serial passage on susceptible host cells, the presence of virus-like DI particles can cause virus populations to rise and fall, reflecting predator-prey interactions between DI and virus particles.	 viruses are cultured by serial passage on susceptible host cells, the presence of virus	 causative_agent_of	no
hypoglycaemia	 glucose	 There was a paucity of evidence on behaviour to avoid hccccccccccccccccccccccccccccccccypoglycaemia, but there were some suggestions that higher than desirable blood glucose levels might be permitted in order to avoid hypoglycaemia.	 glucose er than desirable blood glucose levels mighthypoglycaemia	 may_treat	yes
